6/27/16 15:30,"Our founders aimed to form a simple, honest, and fair merchant service. No more nonsense. Come join us! #PayPortal",http://payportal.digital/about-us/
6/29/16 12:30,Stop being charged more depending on how your customers pay. PayPortal's signature #flatrate: 2.79% + $0.30,http://payportal.digital/flat-rate/
7/4/16 10:00,"No annual, startup, or termination fees. Just $10/month + a flat rate. Simplified billing = Boosted revenue!",http://payportal.digital/
7/6/16 12:05,"Welcome to PayPortal! A flat rate + $10 monthly membership. Or a tiered rate, if you prefer. #ourstandards",http://payportal.digital/pricing/
7/11/16 10:05,"Industry standards have businesses paying payment gateway fees, PCI compliance, and monthly minimums. Not @PayPortal!",http://payportal.digital/
7/13/16 15:30,"""PCI compliance fee"" is not a term you will ever see on our bills. PayPortal doesn't pass this fee off to our members.",http://payportal.digital/introducing-payment-processing-with-free-pci-compliance/
7/18/16 15:30,"With #simple rates, #simple statements, and a #simple setup, PayPortal gives you all you've been asking for!",http://payportal.digital/payportal-is-simple/
7/20/16 10:00,PayPortal works for you! Choose between flat rate or custom quote–we'll guide you towards what's best for your business.,http://payportal.digital/pricing/
7/25/16 12:00,"PayPortal gives you a #human account manager, whose voice you will recognize, for all your payment processing needs. ",http://payportal.digital/payportal-is-human/
7/27/16 15:30,"We provide free payment gateway with membership, protecting your customer's credit card information. #security #flatrate",http://payportal.digital/free-payment-gateway/
8/1/16 12:05,"PayPortal's aim is transparency! We offer a superior product, an #honest service, and a 24/7 dedicated account manager.",http://payportal.digital/payportal-is-honest/
8/3/16 10:00,"PayPortal is your #simple, #honest, and #human payment processing solution. Join our membership base. ",http://payportal.digital/
8/8/16 15:30,Welcome to payment peace of mind! Know exactly what you'll be paying for processing each month.,http://payportal.digital/
8/10/16 10:00,"Free PCI, a Free Payment Gateway, 24/7 Human Support, a Low Flat Rate on all transactions. That's PayPortal for you!",http://payportal.digital/pricing/
,,